author,datetime,content,permalink
@Dandhy_Laksono,"Sep 27, 2025 · 1:57 PM UTC","TANPA GIZI. Prabowo memakai narasi banyak anak (miskin) makan nasi hanya berlauk garam. Makanya butuh MBG. Anak-anak di teluk Morombo, Konawe Utara (Sultra) ini miskin ekstrem. Sebelum tambang dan hilirisasi nikel, gizi mereka dari laut. Jadi siapa yang bikin mereka miskin?",https://nitter.net/Dandhy_Laksono/status/1971937329297448964#m
@rchlgrtl,"Sep 30, 2025 · 1:55 AM UTC","Mainnya pemecah belahnya gitu ya sekarang? MBG itu bagus asal ga di negara segede ini dan pelaksanaannya gak kaya lu lu pada. Nah berhubung kita di sini dan lu pada ngelaksanainnya kaya rencana pembunuhan, ya do the math aja lah, kenapa pada protes dan marah.",https://nitter.net/rchlgrtl/status/1972842674907648260#m
@WWidiyotom485,"Sep 30, 2025 · 2:26 AM UTC",Sy maklum mas gubran kan belom nyobain mbg,https://nitter.net/WWidiyotom485/status/1972850400501047348#m
@nyamukbtina,"Sep 29, 2025 · 2:53 PM UTC",Anies look stuning in his new post✨ Prabs looks stunting in his new statement about palestine and mbg,https://nitter.net/nyamukbtina/status/1972676182715023714#m
@eka_rafikaaa,"Sep 30, 2025 · 2:26 AM UTC","Tapi MBG menunya burger yg pattynya entah terbuat dr apa, kentang goreng frozen yg tinggi natrium, juga nugget frozen 😮‍💨",https://nitter.net/eka_rafikaaa/status/1972850387439980962#m
@detikcom,"Sep 29, 2025 · 7:21 AM UTC",Sejumlah wali murid SD Muhammadiyah 1 Ketelan Solo menolak rencana pembagian Makan Bergizi Gratis. Mereka pilih bayar Rp 10 ribu untuk dapur sehat di sekolah. Simak selengkapnya di sini! Via @detikjatengcom detik.com/jateng/berita/d-81…,https://nitter.net/detikcom/status/1972562236251226324#m
@pilihpmejtniek,"Sep 30, 2025 · 12:59 AM UTC",MBG harusnya ke sekolah yang kurang mampu yang mana harusnya di data dulu. Jadi tidak perlu semua sekolah. Jadi dananya bisa cukup untuk membuat makan bergizi yg sesuai aman dan higienis ke sekolah yang dianggap tidak mampu atau daerah yg miskin. Makanya di data dulu spy tepat.,https://nitter.net/pilihpmejtniek/status/1972828660974698782#m
@BancaMifel,"Sep 29, 2025 · 4:33 PM UTC",¡Tenemos boletos 🎟️ para que vayan al 🏟️ y apoyen a @PumasMX 😼 vs Guadalajara! 1️⃣Dale RT a esta dinámica 2️⃣Sube tu 📸 a los comentario 3️⃣Usa: #ElBancoOficialDePumas 🚨 | Dinámica dirigida a clientes Mifel. ¡Ganarán las fotos con más likes (❤️)! TyC: link.mifel.com.mx/mbg,https://nitter.net/BancaMifel/status/1972701363936063884#m
@Mdy_Asmara1701,"Sep 28, 2025 · 1:32 AM UTC",Harusnya diperbanyak MBG seperti ini,https://nitter.net/Mdy_Asmara1701/status/1972112059421937690#m
@belbuk,"Sep 30, 2025 · 2:26 AM UTC","Aneh juga pemikiran Pak Prabowo ini. Kalau pun MBG ini menciptakan lapangan kerja baru spt yg dia katakan, tentu ada banyak juga lapangan kerja yg hilang dan mungkin sebanding dgn yg tercipta. Kantin2 dan pasokan bahan baku tentu akan hilang.",https://nitter.net/belbuk/status/1972850458382544967#m
@linnotlim,"Sep 28, 2025 · 3:52 AM UTC","Katanya MBG terinspirasi dari Tiongkok ya? Nah, kalau di Tiongkok sendiri kl ada peristiwa keracunan makanan di sekolah, pemerintah-nya ngapain, ya? Simak video berikut, narasumber lgsg dari org Tiongkok langsung! #MBG",https://nitter.net/linnotlim/status/1972147268242595954#m
@f_mariaaaa,"Sep 30, 2025 · 2:26 AM UTC",Disuruh sekolah lagi biar ngerasain MBG 😭😭,https://nitter.net/f_mariaaaa/status/1972850432117752150#m
@kompascom,"Sep 26, 2025 · 11:53 AM UTC","""Mau punyanya jenderal, mau punyanya siapa, kalau melanggar, akan saya tutup. Saya enggak peduli. Karena ini nyangkut nyawa manusia,"" ujar Nanik Klik untuk baca: nasional.kompas.com/read/202… | #Jenderal #BadanGiziNasional #MakanBergiziGratis",https://nitter.net/kompascom/status/1971543596244623542#m
